"projectID";"topic";"title"
"101079929";"HORIZON-MISS-2021-NEB-01-01";"Support the deployment of lighthouse demonstrators for the New European Bauhaus initiative in the context of Horizon Europe missions"
"101070931";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-02";"Tools to measure and stimulate activity in Brain Tissue"
"101072360";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101064993";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101059484";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101079091";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101062327";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101064986";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101069500";"HORIZON-CL5-2021-D6-01-11";"Radical improvement of road safety in low and medium income countries in Africa"
"101083936";"HORIZON-CL5-2021-D3-03-05";"Wind energy in the natural and social environment"
"101064881";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101060739";"HORIZON-CL6-2021-FARM2FORK-01-17";"Increasing the transparency of EU food systems to boost health, sustainability and safety of products, processes and diets"
"101075424";"HORIZON-CL5-2021-D3-02-08";"Electricity system reliability and resilience by design: High-Voltage, Direct Current (HVDC)-based systems and solutions"
"101046630";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101056773";"HORIZON-CL4-2021-TWIN-TRANSITION-01-11";"Automated tools for the valorisation of construction waste (RIA)"
"101056863";"HORIZON-CL5-2021-D5-01-05";"Greenhouse gas aviation emissions reduction technologies towards climate neutrality by 2050"
"101060184";"HORIZON-CL6-2021-CIRCBIO-01-04";"Increasing the circularity in textiles, plastics and/or electronics value chains"
"101058559";"HORIZON-CL4-2021-TWIN-TRANSITION-01-10";"Digital permits and compliance checks for buildings and infrastructure (IA)"
"101079250";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101067138";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101066062";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101057527";"HORIZON-HLTH-2021-ENVHLTH-02-01";"Exposure to electromagnetic fields (EMF) and health"
"101071159";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-05";"Engineered Living Materials"
"101058162";"HORIZON-CL4-2021-TWIN-TRANSITION-01-14";"Deploying industrial-urban symbiosis solutions for the utilization of energy, water, industrial waste and by-products at regional scale (Processes4Planet Partnership)  (RIA)"
"101056886";"HORIZON-CL5-2021-D5-01-06";"Next generation digital aircraft transformation in design, manufacturing, integration and maintenance"
"101069981";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-04";"Novel routes to green hydrogen production"
"101070918";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-01";"Awareness Inside"
"101072851";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101056818";"HORIZON-CL5-2021-D5-01-05";"Greenhouse gas aviation emissions reduction technologies towards climate neutrality by 2050"
